,google_keyword,google_review_date,google_stars,google_star_avg,google_review_txt
260,사직동%20135튀김집,"['2년 전', '1년 전', '3년 전', '2년 전', '2년 전', '2년 전', '2년 전', '1년 전', '2년 전', '2년 전']","[' 별표 1개 ', ' 별표 1개 ', ' 별표 5개 ', ' 별표 1개 ', ' 별표 2개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 4개 ', ' 별표 3개 ', ' 별표 5개 ']",3.1,"['돈까스를 두 번 시켜봤는데 수입쌀을 쓰는 듯... 두 번 다 정말 밥이 최악이었다. 밥알이 성한걸 찾기 힘들 정도.  그 가격 주고 먹느니 이젠 다시 돈까스는 이 집에서 안 먹을 예정. 그리고 호불호가 갈릴 수 있으나 돈까스 튀김옷에도 오뎅이 들어갔다 들었는데 개인적으로 너무 느끼했음.…', '비싼 맛없는 그냥 그런 가오만 잡아놓은 곳', '튀김, 떡뽁이가 맛있는집. 주변 유료주차장을 시용해야하고 화장실이 없음 ㅠ', '비싼 컨셉의 맛없는 오뎅튀김집', '맛은 있으나 가격이 비쌈', '튀김과 오뎅김밥 맛나요', '어 맛있어요 튀김대박이네요', '좋아', 'ㄹㅅㄴ', '']"
262,세종시%20135튀김집,"['2년 전', '2년 전']","[' 별표 4개 ', ' 별표 5개 ']",4.5,"['튀김. 떡볶이는 전체적으로 무난하나 김밥. 밥종류 등 다른건 그저그럼. 인테리어는 깔끔하지만 테이블 청결불량 등 뭔가 조금 부족한 느낌.', '']"
263,남포동%20135튀김집,"['1년 전', '1년 전', '1년 전']","[' 별표 5개 ', ' 별표 4개 ', ' 별표 4개 ']",4.3,"['김밥ᆢ완전 대박~~여수에서 가장 맛있고 정직한김밥일듯ᆢ진짜진짜 강추강추~~^^', '오니기리가 맛있었어요 우동먹을때 꼭 추가해서 드시길!!', '']"
264,보람동%20135튀김집,"['2년 전', '2년 전']","[' 별표 4개 ', ' 별표 5개 ']",4.5,"['튀김. 떡볶이는 전체적으로 무난하나 김밥. 밥종류 등 다른건 그저그럼. 인테리어는 깔끔하지만 테이블 청결불량 등 뭔가 조금 부족한 느낌.', '']"
266,논현동%20136길 육미,"['2달 전', '1년 전', '4달 전', '2달 전', '7달 전', '6달 전', '1년 전', '7달 전', '11달 전', '1년 전']","[' 별표 5개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 3개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 5개 ']",4.3,"['메밀김밥, 장어솥밥, 바질고추장닭조림 먹었습니다\n장어솥밥은 그냥저냥이었지만\n메밀김밥이 너무 맛있었기 때문에.. 별 다섯개.. 🥺…', '#돼지고기솥밥 부드러운 돼지고기, 날치알, 단호박, 나물, 삶은 새우 등이 알차게 들어간 솥밥은 건강한 맛이 났다. 약밥 싫어하는 사람은 안 맞을 수도 있으나 나는 누룽지까지 박박 긁어먹었다.…', '마셰코 시즌 2 최강록 셰프의 식당. 메밀 김밥이 시그니처 메뉴.', '메밀김밥먹고 용이승천했습니다. 내평생 이런음식 처음먹어봅니다.', '마스터셰프코리아2에서 우승자가 선보인 요리를 먹어볼 수 있는 곳. 무슨 일인지 지금은 이곳에서 일하지는 않는다고 하신다. 메밀김밥과 고추장 닭조림을 먹었고 둘 다 잘 먹었다. 절대적인 맛의 기준으로만 보면 별점 3점이 맞다고 생각한다.', '보통 대기가 많으니 일찍 가서 대기 넣어두는것이 좋음\n사람이 많아서도 있지만 주문량 소화를 위해 사람을 무조건 좌석에 넣지는 않는것으로 보임', '가게가 생각보다 작았지만, 음식이 맛있고 매우 친절하셨습니다. 개인적으로는 메밀김밥과 솥밥이 가장 맛있었고, 고추장 닭조림보다는 치킨난반이  맛있었습니다.\n메밀김밥은 깔끔하고 달달하며, 솥밥은 육수로 조린 맛이 은은한게 아주 좋았습니다. 슴슴하게 먹는 것 좋아하는 분들은 완전 만족하실겁니다!!', '정말 정말 맛있었습니다\n장어덮밥을 기대하고 갔지만 오히려 메밀김밥의 매력에 빠져버렸네요\n평일 저녁 6시 30분에 갔는데 웨이팅을 조금 한 후에 들어갔습니다…', '메밀김밥 ㅆㅅㅌㅊ\n치킨난반 ㅆㅅㅌㅊ\n연어덮밥 ㅅㅌㅊ…', '두 번 방문 끝에 먹게 된 곳.\n주말에는 주방 마감을 일찍 하는 듯 하니 전화로 체크하고 갈 것. 오랜 운전 끝에 왔음에도 그만큼 가치 있다고 생각 한 곳. 마스터쉐프에서 최강록 도전자를 굉장히 인상 깊게 봤었고 그 쉐프가 하는 식당이라면 한 번 가고싶다 생각해서 가게 되었음.…']"
268,성남%2013애비뉴,"['4달 전', '2주 전', '2달 전', '3달 전', '7달 전', '5달 전', '2년 전', '10달 전', '3달 전', '4달 전']","[' 별표 5개 ', ' 별표 1개 ', ' 별표 3개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 3개 ', ' 별표 3개 ', ' 별표 5개 ', ' 별표 1개 ', ' 별표 5개 ']",3.5,"['아이랑 먹으려고 갔어요\n아이는 스파게티먹고\n저희 스테이크먹었어요…', '모기도 많고 가격이 비싸요.', '음식 값이 비싸요\n서비스는 좋아요\n분위기도 괜찬은편', '맛있음 친절함 조용함 주차편함\n일하시는 분들이 무척 바쁨', '시그니쳐 피자가 참 맛있구요~\n가격대는 좀 있지만 음식도 품격있고,한가하고,조용하고,\n우아한 분위기 원하신다면 적극추천합니다~', '멋진곳 친구가 초대하였네요~~^^', '까르보나라 파스타 든든.\n다소 비싼편.  토욜 점심 방문시. 조용한것음 장점 아닌 장점…', '외관도넘멋지고 들어가는길이 항상 기분이넘좋아지는곳~~ 음식도너무맛있고 직원분들도항상친절하셔서 항상 기분좋게식사하고 가요\n:)♡', '파스타오더된후 한시간넘도록 안나와서\n당황했습니다\n빠트린거죠\n서비스가 혼란스러웠어요', '아이와 밥먹으러갔어요\n아이는 스파게티먹고\n저흰 피자와…']"
271,신흥3동%2014-1,"['10달 전', '6일 전', '1년 전']","[' 별표 4개 ', ' 별표 5개 ', ' 별표 5개 ']",3.8,"['친절한미소 감사드립니다', '', '']"
272,포항%20145,"['1달 전', '1주 전', '6달 전', '11달 전', '2년 전', '2년 전', '3주 전', '1년 전', '2년 전', '3년 전']","[' 별표 5개 ', ' 별표 2개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 2개 ', ' 별표 4개 ', ' 별표 2개 ', ' 별표 3개 ', ' 별표 2개 ', ' 별표 3개 ']",3.7,"['브런치 잘먹고 갑니다\n양이 좀 아쉽지만 맛은 정말 좋습니다 추천추천\n시설과 뷰도 좋아요', '직원분들 담배 피우는 것은 개인 취향이지만..... 브런치에 옥수수와 구운돼지고기는 겉이 말라 있습니다. 아이스 커피를 캔에 넣어 주시는데 카페에서 마실 때는 바로 내려서 컵에 주시는 건 어떨까 합니다. 야외테이블에 커피 놓고 사진 찍으면 예쁘게 나옵니다. 뷰맛집입니다.', '깔끔하고 산뜻하게 브런치.잘 먹고 왔습니다. 대체적으로 신선한맛이었고. 뷴위기도 괜찮았으나 의자가 전부 딱딱했던것 같아용.', '다른 것보다 뷰가 미침. 프렌치토스트도 괜찮음.', '브런치메뉴..맛이 없다..비싸다..아아까지하면 4만원..\n주변 경치나 인테리어, 인스타사진 때문에 오는 그저그런 카페중 하나..휴..커피가 맛있는..음식이 맛있는..그런 카페찾고싶다..아마 없을듯..ㅎㅎ', '브런치랑 음료 맛있었어요:)3층은 테이블이 좀 불편하고 삐걱거려서 먹을때 좀 불편했어요. 음악소리가 너무 작아서 다른 손님의 대화소리가 너무 잘 들려서 신경쓰이지 않을수가 없었어요. 에그베네딕트 맛있었는데 큰 빵으로 하나랑 샐러드를 곁들이면 어떨까 하는 개인적인 아쉬움이 있었어요. 딸기음료랑 아이스 아인슈패너는 맛있었어요:)', '주차장이 있는데 못 찾은 건지, 주차장이 없어서 당황스러웠습니다.\n음식은 평범, 케익은 맛없었어요.', '그냥 평범한 카페.\n테라스는 안가봐서 모르겠고\n2층에 좌식 테이블이 있어서 편함.…', '밥대신 브런치 먹으러 11시쯤 도착했다.\n브런치두개, 하나당 13,000원을 웃도는 가격이지만 직원은 두당 음료 주문도 하셔야한다고 요청했다.\n팬케이크와 크로크뮤슈와 주스2잔,4만원…', '요즘 카페답게 인테리어는 깔끔하지만 브런치는 가격 대비로 카페만의 장점은 없네요. 한 번은 호기심에 가보겠지만 두 번 이상은 글쎄요.']"
273,광교%20149플라밍고,"['2일 전', '5달 전', '4달 전', '1달 전', '1년 전', '2달 전', '1달 전', '4달 전', '1년 전', '2년 전']","[' 별표 5개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 5개 ']",4.3,"['진짜 맛도 너무 맛있고ㅜㅜ 스테이크 안되는게 아쉬웠지만 강아지가 라떼 너무 맛있어했어요ㅠㅠ\n강아지랑 함께 할 수 있어서 너무 좋았구\n플레이팅도 다 하나 같이 너무 예뻤습니다…', '음식이 조금 늦게 나오는것 빼고는 너무 맛있었습니다!\n애견동반이라 우리팀에게는 더없이 좋았어요.\n사실 애견동반식당이라 전혀 기대감없이 갔는데 파스타 맛집이었네요!', '쾌적하고 친절해서 즐거운시간였습니다.\n루이가 맘껏 뛰어놀고 친구들도 많이 만나서 조아요.', '와... 진짜 오랜만에 파스타 맛집 찾았네요.\n남자 둘이서 파스타만 세개 시켜서 게걸스럽게 먹었습니다! 그래서 사진도 하나 없네요 ㅋㅋ', '스테이크 농어파스타 메인 메뉴 다 맛있었어요!\n분위기도 나쁘지않고 음식도 빨리 나와서 기다림없이 맛있게 먹었습니다.\n주차하기가 조금 불편하긴 하지만 음식이 맛있어서 또 오고 싶네요.…', '음식이 맛있어요..가격도 저렴합니다.. 저렴하다고해서 퀄리티 절대 떨어지지않아요..강아지와 함께 갈수있어 더욱더 좋아요', '음식은 맛있음. 반드시 예악하시고 가세요.예약자 우선입니다. 반려견 입장 가능해요.', '오늘 첨 갔는데... 음식도 맛있고 친절하시고 모든게 다 좋았어요^^ 애견동반식당은 사실 맛은 기대를 안하게 되는데.... 아이들도 어른들도 접시 싹싹하고 왔습니다~^^', '맛있고 직원분도 친절해요\n강아지 라떼도 엄청 맛있나봐요\n울 강아지가 식탐부리는것도 처음봤습니다', '일단 맛있습니다.\n정말 좋은 재료로 만들어주셔서 맛있고, 양도 넉넉해서 정말 만족스러워요. 음식이 만족스럽고 깔끔하니 늘 플라밍고 가는 날은 기분이 좋아요.\n인테리어도 센스있게 꾸며져 있어서  사진 100장씩 찍고 오고요.…']"
275,유성%2014번길레스토랑,"['1년 전', '2년 전', '1년 전', '2달 전', '1년 전', '1달 전', '5달 전']","[' 별표 5개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 4개 ']",4.6,"['안녕하세요. 호텔 스탕달 레스토랑 14st입니다.\n2020년도에는 고객님들의 많은 성원에 감사드려 보답하고자 베푸는 한 해가 되겠습니다.\n더욱 다양해진 메뉴와 프로모션, 고품격 서비스로 여러분을 맞이하겠습니다.…', '호텔에 딸려 있는 레스토랑이기때문에 맛은 그 값어치를 합니다. 서비스도 좋았고 내부인테리어와 청결상태도 좋았네요, 음식이 빨리나오는 편은아니라서 여유를 갖고 식사하는게 좋을듯 합니다. 개인적으로 아쉬웠던부분은 샐러드 정도였고 또 방문 하고 싶습니다.', '호텔은 작지만 셰프의 야망은 큰 듯 ㅋㅋ 진짜 맛있어요 ㅋㅋ 우리동네에도 이런 곳이? 싶은 맛집', '', '', '', '']"
276,신월동%2014일의 설레임,"['2주 전', '1년 전', '4달 전', '3달 전', '4달 전', '4달 전', '5달 전', '10달 전', '1년 전', '1달 전']","[' 별표 5개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 4개 ', ' 별표 4개 ']",4.6,"['맛나고 주차장있ㅇㅓ좋음', '스페인산 이베리코 돼지고기를 판매하는 음식점. 우연히 알게 되어 예약 후 가족과 함께 방문했다. 개별적으로 구분된 칸막이 개념의 공간이 있어서 좋았다. 주인 사모님이 직접 설명해주시면서 고기를 구워주셨다. 일단 이베리코 돼지고기라 비짝 굽지 않고 적당히 구워서 먹으니 부드럽고 맛이 좋다. 부위도 목살, 늑간살(갈비), 갈매기살, 황제살(?), 배받이살(?) 등 여러가지를 골고루 포함하는 세트를 시켰더니 다양한 부위릉 먹을 수…', '여기 고기는 최고임. 가격도 합리적.  야채샐러드, 파절이 맛 나요..  강추', '맛있고 사장님도 친절하고 또 오고싶은 곳입니다~~^^', '고기는 맛있는데 가격이 좀 비싸네요.\n전체적으로 어두운 느낌의 조명이에요.', '고기질이 너무 좋고,맛있어요^^ 재방문의사200%입니당!', '음식  깔끔\n사장님 친절\n고기 짱 맛있어요\n자주 가는데 강추입니다', '이베리코 고기가 정말맛있게 제공되요.\n서비스도 좋은것같아요.\n된장찌개가 기본으로 나와요.\n공기밥은 쌀밥에 강황넣어 노란게 특징이에요', '오우...이정도면 괜찮은 맛', '고기 맛이 좋습니다']"
277,목원대%2015,"['1달 전', '1년 전', '3달 전', '2달 전', '8달 전', '4달 전', '1년 전', '10달 전', '7달 전', '9달 전']","[' 별표 5개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 3개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 4개 ']",4.3,"['운동장에서 걷는 게 좋아요. 저녁에도 산책나갈 때도 걸으면서 얘기도 하고 해요. 산책하는 것으로 추천합니다.', '멋진 캠퍼스^^', '저녁에 운동하기 진짜 좋음', '산책하기 좋은 대학교...', '코로나와 방학으로 학생들은 없고 주변 아파트주민들이 가족과함께 걷기운동하네요.', '학교 학생으로써 캠퍼스가 참 예쁘다고 생각합니다.', '산책만 하기 좋은 곳이네요^^', '어떤대학인지 잘  모르겠네요!', '캠퍼스 이쁨', '주말엔 외부 주차']"
284,외동%20153김밥,"['3년 전', '2년 전', '3년 전', '3년 전', '2년 전']","[' 별표 3개 ', ' 별표 1개 ', ' 별표 5개 ', ' 별표 3개 ', ' 별표 3개 ']",3.0,"['김밥', '', '', '', '']"
287,보정동%20153닭갈비,"['1년 전', '3주 전', '1년 전', '1년 전', '2달 전', '3주 전', '3달 전', '1년 전', '5달 전', '6달 전']","[' 별표 5개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 2개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 1개 ', ' 별표 5개 ']",4.0,"['너무 맛있었어요!! 제가 시킨 우삼겹닭갈비는 일인분에 14000원이었고, 4명이서 3인분 시켜 먹어도 괜찮을만큼 양도 충분했습니다. 부대찌개를 원하시는 분은 9000원에 1인분을 시키실수도 있어요! 닭갈비를 먹고 난 후 볶음밥을 드시고 싶은 분은 날치알 볶음밥 3000원,깍두기 볶음밥 2000원입니다! 식후 요구르트가 준비되어 있습니다:)…', '닭갈비 맛 좋은곳. 부대찌게는 평범', '조용하고 숨겨진 맛집 같아요!\n주차장도 있고, 직원분들도 정말 친절합니다.', '특별할 것 없는 닭갈비이지만 가게에 손님이 많지 않아 좋은 집.', '사장님 친절해요.\n직접 볶아주세요.', '친절하고 맛있어요 최고예요', '다른곳 닭갈비보다. 고기가 맛있어요', '맛있어요.닭갈비', '사장님도 좋으시고 닭갈비도 맛있었어요^^', '맛있습니다. 최고예요']"
290,군산%20153부대찌개,"['5달 전', '4달 전', '1년 전', '3달 전', '8달 전', '1년 전', '4주 전', '9달 전', '5달 전', '1년 전']","[' 별표 3개 ', ' 별표 4개 ', ' 별표 3개 ', ' 별표 1개 ', ' 별표 2개 ', ' 별표 2개 ', ' 별표 3개 ', ' 별표 4개 ', ' 별표 3개 ', ' 별표 5개 ']",3.7,"['군산 미군부대 앞 부대찌게집으로 치즈계란말이가  맛있습니다.\n꽃게가 밑반찬으로 나옵니다.', '근처에서 일하다가 점심을 먹으려고 찾으러 다니다가 왠지 모르게 맛집일거 같아서 들어가본 153부대찌개집!\n허름하지만 맛이 있을거 같은 부대찌개집입니다.\n별관도 있는거 보니 그렇겠지요^^…', '햄버거는 싯가인데... 7천원입니다.\n맛은 so so\n부대찌개는 역시 부대앞에서 먹어야 진리인듯요.…', '불친절, 맛도 없어요.', '평에 비해...  맛은 좀....  햄버거도 실망...', '3년전에는 굉장히 맛있다고 생각해서 재방문하였는데요..앞으로는 재방문하지 않을것 같네요. 맛은 있었지만 아무것도 없는 군산 공항 앞까지 가서 부대찌개와 햄버거만을 위한 여행은 시간낭비일거라는 생각이 들었습니다', '군산에 현진인들 맛집인데 여기도 코로나 여파를 피해가진 못한듯 밑반찬도 약해지고  예전만 못한듯', '맛은 좋네요.\n트렌디한 부대찌개는 아닙니다.\n반찬고 서울 부찌집에서 나오는거랑은 비교하면 안됩니다.…', '20대(90년대 초반)에 비행장 부근에서 먹었던 맛은 아닙니다. 일부러 찾아와서 먹을정도는 아니에요', '깔끔하고 맛있어요! 기본에 충실한 맛!']"
293,안중읍%20153생선구이조림,['6달 전'],[' 별표 5개 '],5.0,"['바삭, 적당히 잘 구워진 생선 구이와\n감칠 맛나는 생선 조림이 맛있었습니다.\n각각의 밑반찬과 방금 지은 돌솥밥에 누룽지까지 맛잇었습니다.…']"
294,대관령%20153샤브샤브칼국수,"['1년 전', '5달 전', '1년 전', '1년 전', '1년 전', '2년 전', '2년 전', '11달 전', '2년 전', '2년 전']","[' 별표 5개 ', ' 별표 5개 ', ' 별표 2개 ', ' 별표 1개 ', ' 별표 5개 ', ' 별표 1개 ', ' 별표 4개 ', ' 별표 1개 ', ' 별표 5개 ', ' 별표 4개 ']",3.5,"['한우 샤브에 칼국수... 강원도 평창 맛집. 맛나요', '역시 맛집에는 이유가잇네요 ㅎㅎ', '맛집이라기보단 평범한 샤브집!좀친절했으면하는 생각이...', '꼭 이곳에서 식당이 한정되어 먹어야 한다면 할 수 없지만 서비스 질 맛 모두 떨어짐.', '매년 들리는 곳인데 신선하고 맛있고 친절하네요\n내년도 들릴께요 ~~', '벽마다 유명인들 방문기 가득있고..맛있다고썼던데...정말 맛은..별2개정도 벽에 메뉴에는 샤브2인 이상 주문 으로 써있는데 인원 수 대로만 주문되요', '정갈하고 깔끔한 맛 입맛없을때\n추천 콩국수도  괜찬음', '청결은 어디에', '시설은 허름하지만 많이 비싸지 않고 맛있음 꼭 찾아오기 보다는 지나는 길에 와서 먹는다면 충분히 만족할 만한 곳', '라이스페이퍼는 없지만, 전반적인 맛은 괜찮습니다. 대관령에 숨어있는 맛집입니다.']"
303,팽성읍%20153코다리네,"['2년 전', '2년 전']","[' 별표 5개 ', ' 별표 5개 ']",5.0,"['오픈했을때부터 맛있게 가는집이에요. 한날은 울집에서 모임이 있어서 대짜 6개 주문하며 떡사리 서비스로 주면 안되냐 했드니 따님(?)이신듯? 안된다고 ㅋㅋㅋㅋㅋㅋㅋㅋ 늘 주문하며 융통성 없는걸 느끼긴 하지만 맛있으니 가요.', '']"
314,후암동%20153한탄강민물매운탕,"['2달 전', '1달 전', '1년 전', '2년 전', '2년 전', '2년 전', '2년 전']","[' 별표 4개 ', ' 별표 5개 ', ' 별표 4개 ', ' 별표 3개 ', ' 별표 4개 ', ' 별표 4개 ', ' 별표 4개 ']",4.0,"['어탕이 주메뉴이나 반찬으로 나오는 계란말이도 맛있습니다. 음식이 전체적으로 깔끔함.', '토마토와 만두가 들어간 막국수는 처음 접해보는데 진짜 맛있어요', '후암시장 맞은편의 어탕국수 맛집. 양고 많고 맛있다. 다음에는 게국지를 먹어봐야겠음.', '어탕국수는 건강한 맛. 동치미가 맛깔나게 거든다.', '어죽, 어탕국수 맛있는 편. 공짜 계란말이 최고', '점심에 어죽 맛있게 먹었읍니다...\n반찬으로 계란말이 끔지막한거\n주시고..리필해주시네요...', '꼬막비빔밥 과 어탕의 환상조화']"
317,일죽%20153해장국,"['1주 전', '1달 전', '1년 전', '1달 전', '3주 전', '2달 전', '3달 전', '4달 전', '1년 전', '4달 전']","[' 별표 4개 ', ' 별표 3개 ', ' 별표 5개 ', ' 별표 4개 ', ' 별표 3개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 5개 ']",4.0,"['라운딩전후 식사로 최고입니다', '아침 라운딩전 우거지해장국 먹었는데 부실한 느낌입니다. 국물이 많고\n반찬도 그냥저냥\n계란후라이 주는게 제일 맘에 드네요', '무조건 별 다섯개...\n숨기고 싶은 자연산 버섯전골 맛집...\n현지인의 적극적인 추천으로 찾아간 곳이다.…', '고기가 신선하고 맛있음.\n미나리를 넣어서 향긋함.', '밑반찬이 더 맛있는집이네요', '진양밸리 갈때 아침 해장국 한그릇 하기 좋고\n민물매운탕  생각나면 끝나고 점심으로 하기도 좋음', '짜지않고 깊은 맛이 느껴지는 진짜 해장국. 기본 반찬이 너무 맛있다.', '자연산 버섯을 사용하고 구물맛이 끝내줌니다', '자연산 버섯으로 준비한 전골 ㅎㅎ\n하나 하나의 향과 맛이 일품이다\n웰빙 웰빙 하는구나', '사장님 서비스 나이스한곳. 황태해장국이 최고']"
320,하안4동%201569치킨카페,['6년 전'],[' 별표 4개 '],4.0,['']
325,종로%2015번출구호프,"['11달 전', '4달 전', '4달 전', '11달 전', '1년 전', '10달 전', '2년 전', '1년 전', '8달 전', '2년 전']","[' 별표 4개 ', ' 별표 3개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 4개 ']",4.2,"['생맥주는 신선하고 안주도 괜찮아요.\n직원들도 친절하고 스마트해요.', '사람많고 그냥별로', '깔끔한 호프집', '가성비 좋은 맛집 강추합니다', '무지 친절하시고 깨끗합니다. 음식도 좋아요', '떡볶이 맛집', '학원 수업 끝나고 학원사람들과 함께 들려서 소소한 이야기 하는 재미가 있는 술집~~ 골목 구석진데 있어 사람들이 질 모를 수도 있는데 생각보다 사람이 엄청 많음. 얼마전엔 자리 없어서 딴데 갔네요 ㄷㄷㄷ', '한잔하기에 좋아요', '편하다', '갈때마다 자리 없어  못들어 갔는데\n이번엔 성공~']"
329,현풍%20161 커피 스튜디오,"['2달 전', '4달 전', '1주 전', '3달 전', '11달 전', '1달 전', '11달 전', '3일 전', '1달 전', '2달 전']","[' 별표 4개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 4개 ', ' 별표 3개 ', ' 별표 3개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 4개 ', ' 별표 4개 ']",4.2,"['[장점]\n- 넓은 테라스 및 야외정원이 있어 유아동반시, 함께 즐기기 좋음\n- 건물 뒷 쪽으로 난 3개의 큰 창이 개방감을 높여 줌…', '현풍을 관통하는 주도로변에 위치한 논뷰카페다. 논뷰라고 해서 볼거리가 없진 않고 예쁜 정원이 있고 산이 있고 아름다운 벼들이 익어간다. 옵니버스 프레임으로 짜여진 통유리창이 캔버스를 들여다 보는 듯 바깥풍경을 그림처럼 만들어준다. 뷰는 수준급이다.…', '핑크뮬리 너무예뻣고~ 모래놀이 미니경운기차 귀엽네요 지하같던 1층자리가 없어져서 아쉬웠어요 날씨 좋았고 맛도 좋았습니다. 곧있으면 노란 논밭뷰도 기대되네요', '1) 전용 주차장이 있어서, 차량방문 가능\n2) 야외를 조금 더 넓게 리모델링한 것 같습니다.\n3) 논뷰를 좋아한다면 추천드립니다.…', '소금커피도 마시고 싶고, 살짝 늦지 않았나 싶기도 하지만 핑크 뮬리도 놓칠수는 없어서 방문 합니다.\n오~  우~\n인산인해군요…', '주차장이 넓고 뷰는 좋았으나, 친절도와 빵은 조금 아쉬웠습니다.', '야외 테라스가 있어 너무 좋아요! 빵도 특색있고 맛있습니다. 곡물빵은 건강한 느낌이고 카스테라는 달고 부드럽네요. 아이들이 맘껏 뛰놀 수 있어서 좋아요. 주차장이 넓은데 사람많은 휴일은 아쉬워요', '앞에 전경이 이쁘고 아이들을 위한 놀이기구가 있어 부모님들도 좋고 자연을 즐기는 사람들이라면 좋은 카페', '논뷰가 탁 트여서 보기 좋고 커피도 맛있어요 가격은 좀 있어요', '뷰가 멋진 카페 커피 맛도 무난하고 맥주 도 팔아서\n풍경보며 한잔 하기 좋다']"
330,창동%20161카페,"['1년 전', '1달 전', '1년 전', '1년 전']","[' 별표 3개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 3개 ']",3.8,"['아이스아메 4500원 가격대비 커피는.....ㅠ', '조용함.조용함', '향깊은 커피와~~ 주인장의 쎈쓰가 돋보이는 커피숍^^', '']"
331,현풍%20161커피스튜디오,"['2달 전', '4달 전', '1주 전', '3달 전', '11달 전', '1달 전', '11달 전', '3일 전', '1달 전', '2달 전']","[' 별표 4개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 4개 ', ' 별표 3개 ', ' 별표 3개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 4개 ', ' 별표 4개 ']",4.2,"['[장점]\n- 넓은 테라스 및 야외정원이 있어 유아동반시, 함께 즐기기 좋음\n- 건물 뒷 쪽으로 난 3개의 큰 창이 개방감을 높여 줌…', '현풍을 관통하는 주도로변에 위치한 논뷰카페다. 논뷰라고 해서 볼거리가 없진 않고 예쁜 정원이 있고 산이 있고 아름다운 벼들이 익어간다. 옵니버스 프레임으로 짜여진 통유리창이 캔버스를 들여다 보는 듯 바깥풍경을 그림처럼 만들어준다. 뷰는 수준급이다.…', '핑크뮬리 너무예뻣고~ 모래놀이 미니경운기차 귀엽네요 지하같던 1층자리가 없어져서 아쉬웠어요 날씨 좋았고 맛도 좋았습니다. 곧있으면 노란 논밭뷰도 기대되네요', '1) 전용 주차장이 있어서, 차량방문 가능\n2) 야외를 조금 더 넓게 리모델링한 것 같습니다.\n3) 논뷰를 좋아한다면 추천드립니다.…', '소금커피도 마시고 싶고, 살짝 늦지 않았나 싶기도 하지만 핑크 뮬리도 놓칠수는 없어서 방문 합니다.\n오~  우~\n인산인해군요…', '주차장이 넓고 뷰는 좋았으나, 친절도와 빵은 조금 아쉬웠습니다.', '야외 테라스가 있어 너무 좋아요! 빵도 특색있고 맛있습니다. 곡물빵은 건강한 느낌이고 카스테라는 달고 부드럽네요. 아이들이 맘껏 뛰놀 수 있어서 좋아요. 주차장이 넓은데 사람많은 휴일은 아쉬워요', '앞에 전경이 이쁘고 아이들을 위한 놀이기구가 있어 부모님들도 좋고 자연을 즐기는 사람들이라면 좋은 카페', '논뷰가 탁 트여서 보기 좋고 커피도 맛있어요 가격은 좀 있어요', '뷰가 멋진 카페 커피 맛도 무난하고 맥주 도 팔아서\n풍경보며 한잔 하기 좋다']"
